name,name_cs
"Beans, Dry, Small Red, 690 (0% moisture)","Fazole, suché, malé červené, 690 (0% vlhkost)"
"Beans, Dry, Small Red, 698 (0% moisture)","Fazole, suché, malé červené, 698 (0% vlhkost)"
"Beans, Dry, Small Red, 703 (0% moisture)","Fazole, suché, malé červené, 703 (0% vlhkost)"
"Beans, Dry, Small Red, 722 (0% moisture)","Fazole, suché, malé červené, 722 (0% vlhkost)"
"Beans, Dry, Small Red, 731 (0% moisture)","Fazole, suché, malé červené, 731 (0% vlhkost)"
"Beans, Dry, Small Red, 746 (0% moisture)","Fazole, suché, malé červené, 746 (0% vlhkost)"
"Beans, Dry, Small Red, 755 (0% moisture)","Fazole, suché, malé červené, 755 (0% vlhkost)"
"Beans, Dry, Small Red, 757 (0% moisture)","Fazole, suché, malé červené, 757 (0% vlhkost)"
"Beans, Dry, Small Red, 759 (0% moisture)","Fazole, suché, malé červené, 759 (vlhkost 0 %)"
"Beans, Dry, Small Red, 760 (0% moisture)","Fazole, suché, malé červené, 760 (0% vlhkost)"
"Beans, Dry, Small Red, 769 (0% moisture)","Fazole, suché, malé červené, 769 (0% vlhkost)"
"Beans, Dry, Small Red, 772 (0% moisture)","Fazole, suché, malé červené, 772 (0% vlhkost)"
"Beans, Dry, Small Red, 774 (0% moisture)","Fazole, suché, malé červené, 774 (0% vlhkost)"
"Beans, Dry, Small Red, 785 (0% moisture)","Fazole, suché, malé červené, 785 (0% vlhkost)"
"Beans, Dry, Small Red, 786 (0% moisture)","Fazole, suché, malé červené, 786 (0% vlhkost)"
"Beans, Dry, Small Red, 797 (0% moisture)","Fazole, suché, malé červené, 797 (0% vlhkost)"
"Beans, Dry, Small Red, 798 (0% moisture)","Fazole, suché, malé červené, 798 (0% vlhkost)"
"Beans, Dry, Small Red, 799 (0% moisture)","Fazole, suché, malé červené, 799 (0% vlhkost)"
"Beans, Dry, Small Red, 804 (0% moisture)","Fazole, suché, malé červené, 804 (0% vlhkost)"
"Beans, Dry, Small Red, 806 (0% moisture)","Fazole, suché, malé červené, 806 (0% vlhkost)"
"Beans, Dry, Small Red, 811 (0% moisture)","Fazole, suché, malé červené, 811 (0% vlhkost)"
"Beans, Dry, Small Red, 813 (0% moisture)","Fazole, suché, malé červené, 813 (0% vlhkost)"
"Beans, Dry, Small White (0% moisture)","Fazole, suché, malé bílé (0% vlhkost)"
"Beans, Dry, Small White, 11F-8057 (0% moisture)","Fazole, suché, malé bílé, 11F-8057 (0% vlhkost)"
"Beans, Dry, Small White, 11F-8160 (0% moisture)","Fazole, suché, malé bílé, 11F-8160 (0% vlhkost)"
"Beans, Dry, Small White, 239 (0% moisture)","Fazole, suché, malé bílé, 239 (0% vlhkost)"
"Beans, Dry, Small White, 265 (0% moisture)","Fazole, suché, malé bílé, 265 (0% vlhkost)"
"Beans, Dry, Small White, 272 (0% moisture)","Fazole, suché, malé bílé, 272 (0% vlhkost)"
"Beans, Dry, Small White, 275 (0% moisture)","Fazole, suché, malé bílé, 275 (vlhkost 0 %)"
"Beans, Dry, Small White, 285 (0% moisture)","Fazole, suché, malé bílé, 285 (0% vlhkost)"
"Beans, Dry, Small White, 309 (0% moisture)","Fazole, suché, malé bílé, 309 (0% vlhkost)"
"Beans, Dry, Small White, 527 (0% moisture)","Fazole, suché, malé bílé, 527 (0% vlhkost)"
"Beans, Dry, Small White, 544 (0% moisture)","Fazole, suché, malé bílé, 544 (0% vlhkost)"
"Beans, Dry, Small White, 549 (0% moisture)","Fazole, suché, malé bílé, 549 (vlhkost 0 %)"
"Beans, Dry, Small White, 564 (0% moisture)","Fazole, suché, malé bílé, 564 (0% vlhkost)"
"Beans, Dry, Small White, 571 (0% moisture)","Fazole, suché, malé bílé, 571 (0% vlhkost)"
"Beans, Dry, Small White, 618 (0% moisture)","Fazole, suché, malé bílé, 618 (0% vlhkost)"
"Beans, Dry, Tan (0% moisture)","Fazole, suché, hnědé (0 % vlhkosti)"
"Beans, Dry, Tan, 11F-8005 (0% moisture)","Fazole, suché, hnědé, 11F-8005 (0% vlhkost)"
"Beans, Dry, Tan, 11F-8042 (0% moisture)","Fazole, suché, hnědé, 11F-8042 (0% vlhkost)"
"Beans, Dry, Tan, 11F-8148 (0% moisture)","Fazole, suché, hnědé, 11F-8148 (0% vlhkost)"
"Beans, Dry, Tan, 11F-8175 (0% moisture)","Fazole, suché, hnědé, 11F-8175 (0% vlhkost)"
"Beans, Dry, Tan, 231 (0% moisture)","Fazole, suché, hnědé, 231 (0% vlhkost)"
"Beans, Dry, Tan, 302 (0% moisture)","Fazole, suché, hnědé, 302 (0% vlhkost)"
"Beans, Dry, Tan, 540 (0% moisture)","Fazole, suché, hnědé, 540 (0% vlhkost)"
"Beans, Dry, Tan, 577 (0% moisture)","Fazole, suché, hnědé, 577 (0% vlhkost)"
"beans, great northern, canned, sodium added","fazole, velké severní, konzervy, přidaný sodík"
"Beans, great northern, canned, sodium added, drained and rinsed","Fazole, skvělé severní, konzervované, přidaný sodík, scezené a propláchnuté"
"beans, kidney, dark red, canned, sodium added, sugar added","fazole, ledvinka, tmavě červená, konzerva, přidaný sodík, přidaný cukr"
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed","Fazole, ledvinka, tmavě červená, konzerva, přidaný sodík, přidaný cukr, scezené a propláchnuté"
"beans, kidney, light red, canned, sodium added, sugar added","fazole, ledvinka, světle červená, konzerva, přidaný sodík, přidaný cukr"
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed","Fazole, ledvinka, světle červená, konzerva, přidaný sodík, přidaný cukr, scezené a propláchnuté"
"beans, navy, canned, sodium added","fazole, námořnictvo, konzervy, přidaný sodík"
"Beans, navy, canned, sodium added, drained and rinsed","Fazole, námořnictvo, konzervy, přidán sodík, scezené a propláchnuté"
"beans, pinto, canned, sodium added","fazole, pinto, konzervy, přidaný sodík"
"Beans, pinto, canned, sodium added, drained and rinsed","Fazole, pinto, konzerva, sodík přidán, scezen a propláchnut"
"Beans snap canned drained","Fazole snap konzervy okapané"
"Beans, snap, canned, drained - NFY1211YP","Fazole, lusk, konzerva, okapaná - NFY1211YP"
"Beans, snap, canned, drained - NFY1211YW","Fazole, lusk, konzerva, okapaná - NFY1211YW"
"Beans, snap, canned, drained - NFY1211Z2","Fazole, lusk, konzerva, okapaná - NFY1211Z2"
"Beans, snap, canned, drained - NFY1211Z9","Fazole, lusk, konzerva, okapaná - NFY1211Z9"
"Beans, snap, canned, drained - NFY1211ZF","Fazole, lusk, konzerva, okapaná - NFY1211ZF"
"Beans, snap, canned, drained - NFY1211ZM","Fazole, lusk, konzerva, okapaná - NFY1211ZM"
"Beans, snap, canned, drained - NFY1211ZS","Fazole, lusk, konzerva, okapaná - NFY1211ZS"
"Beans, snap, canned, drained - NFY1211ZZ","Fazole, lusk, konzerva, okapaná - NFY1211ZZ"
"Beans, snap, canned, drained - NFY121205","Fazole, lusk, konzerva, okapaná - NFY121205"
"Beans, snap, canned, drained - NFY12120C","Fazole, lusk, konzerva, okapaná - NFY12120C"
"Beans, snap, canned, drained - NFY12120I","Fazole, lusk, konzerva, okapaná - NFY12120I"
"Beans, snap, canned, drained - NFY12120P","Fazole, lusk, konzerva, okapaná - NFY12120P"
"Beans, snap, green, canned, regular pack, drained solids","Fazole, lusk, zelené, konzervované, běžné balení, odkapané pevné látky"
"Beans, snap, green, raw","Fazole, lusk, zelené, syrové"
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS","HOVĚZÍ SNÍDANĚ KLOBÁK, BANKET HNĚDÁ N PODÁVEJTE KLOBÁBU ODKAZY"
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR","HOVĚZÍ SNÍDANĚ KLOBÁSKA, BANQUET HNĚDÁ N PODÁVEJTE KLOBÁSOVÉ ODKAZY, PŘÍCHUŤ JAVOR"
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS","HOVĚZÍ SNÍDANĚ KLOBÁSKA, ODKAZY NA KLOBÁBU ECKRICH"
"beef, chuck, roast, boneless","hovězí maso, sklíčidlo, pečeně, bez kostí"
"Beef, chuck, roast, boneless, choice, raw","Hovězí maso, sklíčidlo, pečeně, bez kostí, výběr, syrové"
"beef, flank steak","hovězí maso, flank steak"
"Beef, flank, steak, boneless, choice, raw","Hovězí maso, bok, steak, vykostěné, výběr, syrové"
"Beef, ground, 80% lean, 20% fat, raw","Hovězí maso, mleté, 80 % libové, 20 % tuku, syrové"
"Beef, ground, 80% lean meat / 20% fat, raw","Hovězí maso, mleté, 80 % libového masa / 20 % tuku, syrové"
"Beef, ground, 90% lean, 10% fat, raw","Hovězí maso, mleté, 90 % libové, 10 % tuku, syrové"
"Beef, ground, 90% lean meat / 10% fat, raw","Hovězí maso, mleté, 90% libové maso / 10% tuk, syrové"
"Beef, ground, grass-fed, 80% lean, 20% fat, raw","Hovězí maso, mleté, krmené trávou, 80 % libové, 20 % tuku, syrové"
"Beef, ground, grass-fed, 90% lean, 10% fat, raw","Hovězí maso, mleté, krmené trávou, 90 % libové, 10 % tuku, syrové"
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","Hovězí maso, hřbet, svíčková pečeně, pouze oddělitelné libové, vykostěné, upravené na 0"" tuku, výběr, vařené, pečené"
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw","Hovězí maso, hřbet, steak z hřbetu, vykostěné, lip-on, oddělitelné pouze libové, upravené na 1/8"" tuku, výběr, syrové"
"beef, ribeye steak, boneless","hovězí maso, ribeye steak, bez kostí"
"Beef, ribeye, steak, boneless, choice, raw","Hovězí maso, ribeye, steak, vykostěné, výběr, syrové"
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Hovězí maso, kulaté, kulaté oko, vykostěné, pouze libové oddělitelné, upravené na 0"" tuku, výběrové, syrové"
"Beef, round, top round, boneless, choice, raw","Hovězí maso, kulaté, vrchní kulaté, bez kostí, výběr, syrové"
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Hovězí maso, kulaté, horní kulatá pečeně, vykostěné, pouze libové oddělitelné, upravené na 0"" tuku, výběrové, syrové"
"Beef, short loin (NY strip steak), raw","Hovězí maso, short loin (NY strip steak), syrové"
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw","Hovězí maso, krátký hřbet, porterhouse steak, pouze oddělitelné libové maso, upravené na 1/8"" tuku, výběr, syrové"
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Hovězí maso, krátký hřbet, t-bone steak, odkostěné, pouze libové oddělitelné, upravené na 1/8"" tuku, výběr, vařené, grilované"
"Beef, tenderloin steak, raw","Hovězí maso, steak ze svíčkové, syrové"
"beef, top round, boneless","hovězí maso, vrchní kulaté, bez kostí"
"Beef, top sirloin steak, raw","Hovězí maso, vrchní svíčková, syrové"
"Beets, raw","Řepa, syrová"
"Bison, ground, raw","Bison, mletý, syrový"
"Blackberries, raw","Ostružiny, syrové"
"Blackeye pea, canned, sodium added, drained and rinsed","Hrach černý, konzervovaný, přidán sodík, scezen a propláchnut"
"blackeye pea, dry","černooký hrášek, suchý"
"Blackeye pea, dry","Hrášek černooký, suchý"
"blueberries, fresh, raw","borůvky, čerstvé, syrové"
"Blueberries, raw","Borůvky, syrové"
"Bok choy, regular (not baby), raw","Bok choy, pravidelný (ne dětský), syrový"
"Brambora","Brambora"
"brazil nuts, raw","para ořechy, syrové"
"Bread, white, commercially prepared","Chléb, bílý, komerčně připravený"
"Bread, whole-wheat, commercially prepared","Chléb, celozrnný, komerčně připravený"
"Broccoli, Cooked, Region 2, n/a, Yes, Fiber - NFY01049U","Brokolice, vařená, oblast 2, neuvádí se, Ano, vláknina – NFY01049U"
"Broccoli, Cooked, Region 2, n/a, Yes, Minerals - NFY01049P","Brokolice, vařená, oblast 2, neuvádí se, Ano, minerály – NFY01049P"
"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY01049N","Brokolice, vařená, oblast 2, neuvádí se, Ano, nejbližší - NFY01049N"
"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY0104AN","Brokolice, vařená, oblast 2, neuvádí se, Ano, nejbližší - NFY0104AN"
"Broccoli, Cooked, Region 4, n/a, Yes, Fiber - NFY0104D6","Brokolice, vařená, oblast 4, neuvádí se, ano, vláknina – NFY0104D6"
"Broccoli, Cooked, Region 4, n/a, Yes, Minerals - NFY0104D0","Brokolice, vařená, oblast 4, neuvádí se, Ano, minerály – NFY0104D0"
"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104CY","Brokolice, vařená, oblast 4, neuvádí se, Ano, nejbližší - NFY0104CY"
"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104DY","Brokolice, vařená, oblast 4, neuvádí se, ano, nejbližší - NFY0104DY"
"Broccoli, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CUE","Brokolice, Pass 2, Region 1, n/a, Ano, Proximates – NFY010CUE"
"Broccoli, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D7F","Brokolice, Pass 2, Region 2, n/a, Ano, Minerály – NFY010D7F"
"Broccoli, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D7D","Brokolice, Pass 2, Region 2, n/a, Ano, Proximates – NFY010D7D"
"Broccoli, Pass 2, Region 3, n/a, Yes, Minerals - NFY010D86","Brokolice, Pass 2, Region 3, n/a, Ano, Minerály – NFY010D86"
"Broccoli, Pass 2, Region 3, n/a, Yes, Proximates - NFY010D84","Brokolice, Pass 2, Region 3, n/a, Ano, Proximates – NFY010D84"
"Broccoli, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CVA","Brokolice, Pass 2, Region 4, n/a, Ano, Minerály – NFY010CVA"
"Broccoli, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CV8","Brokolice, Pass 2, Region 4, n/a, Ano, Proximates – NFY010CV8"
"Broccoli, raw","Brokolice, syrová"
"Broccoli, Region 1, n/a, Yes, Fiber - NFY01047T","Brokolice, oblast 1, neuvádí se, ano, vláknina – NFY01047T"
"Broccoli, Region 1, n/a, Yes, Minerals - NFY01047O","Brokolice, oblast 1, neuvádí se, ano, minerály – NFY01047O"
"Broccoli, Region 1, n/a, Yes, Proximates - NFY01047M","Brokolice, oblast 1, neuvádí se, ano, nejbližší - NFY01047M"
"Broccoli, Region 1, n/a, Yes, Proximates - NFY01048F","Brokolice, oblast 1, neuvádí se, ano, nejbližší - NFY01048F"
"Broccoli, Region 2, n/a, Yes, Fiber - NFY01048R","Brokolice, oblast 2, neuvádí se, ano, vláknina – NFY01048R"
"Broccoli, Region 2, n/a, Yes, Minerals - NFY01048M","Brokolice, oblast 2, neuvádí se, Ano, minerály – NFY01048M"
"Broccoli, Region 2, n/a, Yes, Proximates - NFY01048K","Brokolice, oblast 2, neuvádí se, ano, nejbližší - NFY01048K"
"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F","Brokolice, oblast 2, neuvádí se, ano, nejbližší - NFY01049F"
"Broccoli, Region 3, n/a, Yes, Fiber - NFY0104B1","Brokolice, oblast 3, neuvádí se, ano, vláknina – NFY0104B1"
"Broccoli, Region 3, n/a, Yes, Minerals - NFY0104AW","Brokolice, oblast 3, neuvádí se, ano, minerály – NFY0104AW"
"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104AU","Brokolice, oblast 3, neuvádí se, ano, nejbližší - NFY0104AU"
"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104BP","Brokolice, oblast 3, neuvádí se, ano, nejbližší - NFY0104BP"
"Broccoli, Region 4, n/a, Yes, Fiber - NFY0104C5","Brokolice, oblast 4, neuvádí se, ano, vláknina – NFY0104C5"
"Broccoli, Region 4, n/a, Yes, Minerals - NFY0104BZ","Brokolice, oblast 4, neuvádí se, ano, minerály – NFY0104BZ"
"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104BX","Brokolice, oblast 4, neuvádí se, ano, nejbližší - NFY0104BX"
"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104CS","Brokolice, oblast 4, neuvádí se, ano, nejbližší - NFY0104CS"
"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D8X","Brokolice, dušená, Pass 2, Region 2, n/a, Ano, Minerály – NFY010D8X"
"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D8W","Brokolice, dušená, Pass 2, Region 2, n/a, Ano, Proximates – NFY010D8W"
"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CW6","Brokolice, dušená, Pass 2, Region 4, n/a, Ano, Minerály – NFY010CW6"
"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CW4","Brokolice, dušená, Pass 2, Region 4, n/a, Ano, Proximates – NFY010CW4"
"Brokolice","Brokolice"
"brown rice, long grain, unenriched","hnědá rýže, dlouhozrnná, neobohacená"
"Brussels sprouts, raw","Růžičková kapusta, syrová"
"buckwheat, flour","pohanka, mouka"
"buckwheat, whole grain","pohanka, celozrnná"
"Buckwheat, whole grain","Pohanka, celozrnná"
"Bulgur","Bulgur"
"Bulgur, dry, raw","Bulgur, suchý, syrový"
"Buttermilk, low fat","Podmáslí, nízkotučné"
"Buttermilk, lowfat","Podmáslí, nízkotučné"
"Butter, stick, salted","Máslo, tyčinka, osolená"
"BUTTER, STICK, SALTED","MÁSLO, TYČOVÉ, SOLENÉ"
"Butter, stick, unsalted","Máslo, tyčinka, nesolená"
"BUTTER, STICK, UNSALTED","MÁSLO, TYČOVÉ, NESLANÉ"
"Cabbage, bok choy, raw","Zelí, bok choy, syrové"
"cabbage, green, raw","zelí, zelené, syrové"
"Cabbage, green, raw","Zelí, zelené, syrové"
"Cabbage, napa, leaf, destemmed, raw","Zelí, napa, listové, odstopkované, syrové"
"cabbage, red, raw","zelí, červené, syrové"
"Cabbage, red, raw","Zelí, červené, syrové"
"Canola oil","Řepkový olej"
"Cantaloupe, Raw, Pass 2, Region 1, n/a, Yes, Minerals - NFY010CXI","Cantaloupe, Raw, Pass 2, Region 1, n/a, Ano, Minerály – NFY010CXI"
"Cantaloupe, Raw, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CXG","Cantaloupe, Raw, Pass 2, Region 1, n/a, Ano, Proximates – NFY010CXG"
"Cantaloupe, Raw, Pass 2, Region 2, n/a, Yes, Minerals - NFY010DA9","Cantaloupe, Raw, Pass 2, Region 2, n/a, Ano, Minerály – NFY010DA9"
"Cantaloupe, Raw, Pass 2, Region 2, n/a, Yes, Proximates - NFY010DA7","Cantaloupe, Raw, Pass 2, Region 2, n/a, Ano, Proximates – NFY010DA7"
"Cantaloupe, Raw, Pass 2, Region 3, n/a, Yes, Minerals - NFY010DAZ","Cantaloupe, Raw, Pass 2, Region 3, n/a, Ano, Minerály – NFY010DAZ"
"Cantaloupe, Raw, Pass 2, Region 3, n/a, Yes, Proximates - NFY010DAX","Cantaloupe, Raw, Pass 2, Region 3, n/a, Yes, Proximates – NFY010DAX"
"Cantaloupe, Raw, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CYD","Cantaloupe, Raw, Pass 2, Region 4, n/a, Ano, Minerály – NFY010CYD"
"Cantaloupe, Raw, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CYB","Cantaloupe, Raw, Pass 2, Region 4, n/a, Yes, Proximates – NFY010CYB"
"Cantaloupe, raw, Region 1, n/a, Yes - Fiber,  NF000987","Cantaloupe, surový, oblast 1, neuvádí se, ano – vlákno, NF000987"
"Cantaloupe, raw, Region 1, n/a, Yes - Minerals, Se,  NF000981","Cantaloupe, surový, Region 1, n/a, Ano – Minerály, Se, NF000981"
"Cantaloupe, raw, Region 1, n/a, Yes - Proximates,  NF000980, NF00098U","Cantaloupe, surový, Oblast 1, není k dispozici, Ano – Proximáty, NF000980, NF00098U"
"Cantaloupe, raw, Region 2, n/a, Yes - Minerals, Se,  NF000990","Cantaloupe, surový, Region 2, n/a, Ano – Minerály, Se, NF000990"
"Cantaloupe, raw, Region 3, n/a, Yes - Minerals, Se,  NF0009H7","Cantaloupe, surový, Region 3, neuvádí se, Ano – Minerály, Se, NF0009H7"
"Cantaloupe, raw, Region 3, n/a, Yes - Proximates,  NF0009H6, NF0009I0","Cantaloupe, surový, Oblast 3, neuvádí se, Ano – Proximáty, NF0009H6, NF0009I0"
"Cantaloupe, raw, Region 4, n/a, Yes - Minerals, Se,  NF0009I6","Cantaloupe, surový, Region 4, n/a, Ano - Minerály, Se, NF0009I6"
"Cantaloupe, raw, Region 4, n/a, Yes - Proximates,  NF0009I5, NF0009IS","Cantaloupe, surový, Oblast 4, není k dispozici, Ano – Proximáty, NF0009I5, NF0009IS"
"Carrots, baby, raw","Mrkev, baby, syrová"
"carrots, baby, raw, peeled","mrkev, baby, syrová, loupaná"
"Carrots, frozen, unprepared","Mrkev, mražená, neupravená"
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)","Mrkev, zmrazená, neupravená (zahrnuje potraviny pro program distribuce potravin USDA)"
"carrots, mature, raw","mrkev, zralá, syrová"
"Carrots, mature, raw","Mrkev, zralá, syrová"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913Q1","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913Q1"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913SS","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913SS"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913TC","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913TC"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913VX","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913VX"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913WH","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913WH"
"Carrots, sliced or crinkle cut, frozen, unprepared - Minerals - NF9913Z8","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Minerály - NF9913Z8"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913QG","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913QG"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913QM","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913QM"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913QP","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913QP"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913SR","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913SR"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913T8","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913T8"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913TB","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913TB"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913U0","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913U0"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913VW","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913VW"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913WD","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913WD"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913WG","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913WG"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913X5","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913X5"
"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913Z7","Mrkev, nakrájená na plátky nebo nakrájená, zmrazená, neupravená - Proximates - NF9913Z7"
"Carrots, whole, unprepared - Minerals - NF99140G","Mrkev, celá, neupravená - Minerály - NF99140G"
"Carrots, whole, unprepared - Minerals - NF99143B","Mrkev, celá, neupravená - Minerály - NF99143B"
"Carrots, whole, unprepared - Minerals - NF99143V","Mrkev, celá, neupravená - Minerály - NF99143V"
"Carrots, whole, unprepared - Minerals - NF99146Q","Mrkev, celá, neupravená - Minerály - NF99146Q"
"Carrots, whole, unprepared - Minerals - NF9914EI","Mrkev, celá, neupravená - Minerály - NF9914EI"
"Carrots, whole, unprepared - Proximates - NF99140C","Mrkev, celá, neupravená - Proximates - NF99140C"
"Carrots, whole, unprepared - Proximates - NF99140F","Mrkev, celá, neupravená - Proximates - NF99140F"
"Carrots, whole, unprepared - Proximates - NF991414","Mrkev, celá, neupravená - Proximates - NF991414"
"Carrots, whole, unprepared - Proximates - NF99143A","Mrkev, celá, neupravená - Proximates - NF99143A"
"Carrots, whole, unprepared - Proximates - NF99143S","Mrkev, celá, neupravená - Proximates - NF99143S"
"Carrots, whole, unprepared - Proximates - NF99143U","Mrkev, celá, neupravená - Proximates - NF99143U"
"Carrots, whole, unprepared - Proximates - NF99146P","Mrkev, celá, neupravená - Proximates - NF99146P"
"Carrots, whole, unprepared - Proximates - NF9914EH","Mrkev, celá, neupravená - Proximates - NF9914EH"
"cashews, raw","kešu, syrové"
"cassava flour","manioková mouka"
"catfish, farm raised, raw, skin removed","sumec, chovaný na farmě, syrový, zbavená kůže"
"Cauliflower, raw","Květák, syrový"
"celery, raw","celer, syrový"
"Celery, raw","Celer, syrový"
"Celozrnný chléb","Celozrnný chléb"
"Červená curry pasta","Červené kari těstoviny"
"Česnek sroužek","Česnek sroužek"
"Cheese","Sýr"
"Cheese, American","Sýr, americký"
"Cheese; American","Sýr; americký"
"Cheese, American, restaurant","Sýrová, americká, restaurace"
"Cheese, cheddar","Sýr, čedar"
"Cheese, cotija, solid","Sýr, cotija, pevný"
"Cheese, cottage, lowfat, 2% milkfat","Sýr, cottage, nízkotučný, 2 % mléčného tuku"
"Cheese, dry white, queso seco","Sýr, suchý bílý, queso seco"
"Cheese, feta, whole milk, crumbled","Sýr, feta, plnotučné mléko, rozdrobené"
"Cheese, monterey jack, solid","Sýr, monterey jack, pevný"
"Cheese, mozzarella, low moisture, part-skim","Sýr, mozzarella, nízká vlhkost, částečně odtučněný"
"Cheese, oaxaca, solid","Sýr, oaxaca, pevný"
"Cheese, parmesan, grated","Sýr, parmazán, nastrouhaný"
"Cheese, parmesan, grated, refrigerated","Sýr, parmazán, strouhaný, chlazený"
"Cheese, pasteurized process, American, vitamin D fortified","Sýr, pasterizovaný proces, americký, obohacený vitaminem D"
"Cheese, pasteurized process cheese food or product, American, singles","Sýr, pasterizované tavené sýrové jídlo nebo produkt, Američan, nezadané"
"Cheese, provolone, sliced","Sýr, provolon, nakrájený na plátky"
"Cheese, queso fresco, solid","Sýr, queso freska, pevný"
"Cheese, ricotta, whole milk","Sýr, ricotta, plnotučné mléko"
"CHEESE, RICOTTA, WHOLE MILK, GALBANI","SÝR, RICOTTA, PLNOTUČNÉ MLÉKO, GALBANI"
"CHEESE, RICOTTA, WHOLE MILK, LUCERNE","SÝR, RICOTTA, PLNOTUČNÉ MLÉKO, LUCERNA"
